MONSTER, NAME, DAMAGE, ANSWER1, ANSWER2, ANSWER3, CORRECT_ANSWER
Sebastian, ¿Cual_es_la_mejor_carrera_de_todas?, 999, _ITC, _IDM, _IIS, _IRS
Dragon_de_Compilacion, ¿Cual_es_el_orden_de_complejidad_del_algoritmo_para_la_multiplicacion_de_matrices_de_tamano_nxn?, 12, O(n^2), O(n_log_n), O(n!), O(n^3)
Goomba_de_Codigo, ¿Cual_es_la_complejidad_en_el_peor_caso_para_el_algoritmo_de_Ordenamiento_por_Intercambio?, 3, O(n_log_n), O(n), O(log_n), O(n^2)
Grifo_de_la_Busqueda, ¿Cual_es_la_eficiencia_de_orden_para_el_algoritmo_de_Busqueda_Binaria?, 7, O(n), O(n^2), O(n_log_n), O(log2_n)
Guerrero_de_la_Burbuja, ¿Cual_es_el_orden_de_eficiencia_(en_el_peor_caso)_de_la_Busqueda_Secuencial?, 2, O(log2_n), O(n_log_n), O(1), O(n)
Goomba_de_Codigo, ¿Cual_es_el_peor_caso_de_complejidad_para_el_algoritmo_Quick_Sort?, 3, O(n_log_n), O(log_n), O(n), O(n^2)
Goomba_de_Codigo, ¿Cual_es_la_complejidad_en_el_peor_caso_para_el_algoritmo_Merge_Sort?, 10, O(n^2), O(n!), O(n), O(n_log_n)
Bruja_de_la_Insercion, "En_el_algoritmo_Quick_Sort,_¿como_se_llama_el_elemento_que_divide_el_arreglo_en_dos_particiones?", 4, Subarreglo, Mediana, Raiz, Pivote
Bruja_de_la_Insercion, ¿Cual_es_el_mejor_caso_de_complejidad_para_el_Ordenamiento_por_Insercion?, 4, O(n^2), O(n_log_n), O(log_n), O(n)
Guerrero_de_la_Burbuja, ¿Que_algoritmo_busca_el_valor_mas_grande_(o_menor)_y_lo_intercambia_por_el_valor_en_el_extremo_opuesto?, 2, Quick_Sort, Merge_Sort, Burbuja, Seleccion_Directa
Fantasma_de_Datos, ¿Cuales_son_las_siglas_en_ingles_para_Tipo_de_Datos_Abstracto?, 10, DTF, DTA, TDS, ADT
